topic,subtopic1,subtopic2,raw_ex_info,composer,raw_ex_title,raw_ex_mm,larger_work,generic_title,piece_title,catalog_no,movement,measure_start,measure_end,mp3,pdf
Scales,Major scales,Descending Major Scales,"Grieg, Lyric Piece, op. 54 no. 5, mm. 71-86",Grieg,"Lyric Piece, op. 54 no. 5",mm. 71-86,,,,op. 54,,,,/musictheoryexamples/examples//ScO2.mp3,/musictheoryexamples/examples//ScO2.pdf
Scales,Major scales,Descending Major Scales,"Brahms, ""Weg der Liebe"", op. 20 no. 1, mm. 120-128",Brahms,"""Weg der Liebe"", op. 20 no. 1",mm. 120-128,,,Weg der Liebe,op. 20,,,,/musictheoryexamples/examples//ScP2.mp3,/musictheoryexamples/examples//ScP2.pdf
Scales,Major scales,Descending Major Scales,"Brahms, Intermezzo in E Major, op. 116 no. 4, mm. 60-71",Brahms,"Intermezzo in E Major, op. 116 no. 4",mm. 60-71,,,,op. 116,,,,/musictheoryexamples/examples//ScQ2.mp3,/musictheoryexamples/examples//ScQ2.pdf
Scales,Major scales,Descending Major Scales,"Schumann, Nachtstücke, op. 23 no. 2, mm. 1-4",Schumann,"Nachtstücke, op. 23 no. 2",mm. 1-4,,,,op. 23,,,,/musictheoryexamples/examples//ScR2.mp3,/musictheoryexamples/examples//ScR2.pdf
Scales,Major scales,Descending Major Scales,"Brahms, Romanze, op. 118 no. 5, mm. 1-8",Brahms,"Romanze, op. 118 no. 5",mm. 1-8,,,,op. 118,,,,/musictheoryexamples/examples//ScS2.mp3,/musictheoryexamples/examples//ScS2.pdf
Scales,Major scales,Descending Major Scales,"Dvorak, String Quartet no. 12 in F Major, op. 96, mvt. 1, mm. 116-121",Dvorak,"String Quartet no. 12 in F Major, op. 96, mvt. 1",mm. 116-121,,,,op. 96,mvt. 1,,,/musictheoryexamples/examples//ScT2.mp3,/musictheoryexamples/examples//ScT2.pdf
Scales,Major scales,Descending Major Scales,"Corelli, Concerto Grosso in F Major, op. 6 no. 9, Largo, mm. 14-18",Corelli,"Concerto Grosso in F Major, op. 6 no. 9, Largo",mm. 14-18,,,,op. 6,,,,/musictheoryexamples/examples//ScG.mp3,/musictheoryexamples/examples//ScG.pdf
Scales,Major scales,Descending Major Scales,"Tchaikovsky, Sacred Chorus no. 1, mm. 73-79",Tchaikovsky,Sacred Chorus no. 1,mm. 73-79,,,,,,,,/musictheoryexamples/examples//ScU2.mp3,/musictheoryexamples/examples//ScU2.pdf
Scales,Major scales,Descending Major Scales,"Handel, Serse, ""Ombra mai fu"", mm. 25-34",Handel,"Serse, ""Ombra mai fu""",mm. 25-34,,,Ombra mai fu,,,,,/musictheoryexamples/examples//ScJ.mp3,/musictheoryexamples/examples//ScJ.pdf
Scales,Major scales,Descending Major Scales,"Haydn, Piano Sonata in G Major, Hob. XVI:27, mvt. 3, mm. 65-72",Haydn,"Piano Sonata in G Major, Hob. XVI:27, mvt. 3",mm. 65-72,,,,Hob. XVI:27,mvt. 3,,,/musictheoryexamples/examples//ScV2.mp3,/musictheoryexamples/examples//ScV2.pdf
Scales,Major scales,Descending Major Scales,"J. S. Bach, French Suite no. 5 in G Major, BWV 816, Courante, mm. 27-32",J. S. Bach,"French Suite no. 5 in G Major, BWV 816, Courante",mm. 27-32,,,,BWV 816,,,,/musictheoryexamples/examples//ScW2.mp3,/musictheoryexamples/examples//ScW2.pdf
Scales,Major scales,Descending Major Scales,"Tchaikovsky, The Nutcracker, op. 71 no. 14 (""Pas de Deux""), mm. 1-5",Tchaikovsky,"The Nutcracker, op. 71 no. 14 (""Pas de Deux"")",mm. 1-5,,,Pas de Deux,op. 71,,,,/musictheoryexamples/examples//ScY2.mp3,/musictheoryexamples/examples//ScY2.pdf
Scales,Major scales,Descending Major Scales,"Schubert, Violin Sonatina no. 3 in g minor, D. 408, mvt. 4, mm. 140-149",Schubert,"Violin Sonatina no. 3 in g minor, D. 408, mvt. 4",mm. 140-149,,,,D. 408,mvt. 4,,,/musictheoryexamples/examples//ScZ2.mp3,/musictheoryexamples/examples//ScZ2.pdf
Scales,Major scales,Descending Major Scales,"Haydn, String Quartet in A Major, op. 9 no. 6, mvt. 4, mm. 1-20",Haydn,"String Quartet in A Major, op. 9 no. 6, mvt. 4",mm. 1-20,,,,op. 9,mvt. 4,,,/musictheoryexamples/examples//ScA3.mp3,/musictheoryexamples/examples//ScA3.pdf
Scales,Major scales,Descending Major Scales,"Locatelli, L'Arte del Violino, Concerto no. 11 in A Major, mvt. 1, mm. 1-10",Locatelli,"L'Arte del Violino, Concerto no. 11 in A Major, mvt. 1",mm. 1-10,,,,,mvt. 1,,,/musictheoryexamples/examples//ScB3.mp3,/musictheoryexamples/examples//ScB3.pdf
Scales,Major scales,Descending Major Scales,"Brahms, Liebeslieder Waltzer, op. 52 no. 6, mm. 1-20",Brahms,"Liebeslieder Waltzer, op. 52 no. 6",mm. 1-20,,,,op. 52,,,,/musictheoryexamples/examples//ScC3.mp3,/musictheoryexamples/examples//ScC3.pdf
